id,identifier,name,type_id,damage_class_id,damage,energy,accuracy,summary,description,target,category
373,embargo,Embargo,16,3,,4,100,Prevents the target from using its held item for five actions.,"Using its dark-type powers of persuasion, the user tricks an opponent into a sinister pact in which that opponent agrees not to make use of any of its special attributes in battle. As a result, the effects of all the pokémon's items and body modifications are nullified for the next five actions.",Single,Special
374,fling,Fling,16,1,-1,-1,100,Throws the user's held item at the target.  Base damage and energy cost depend on the item.,"The user hurls whatever it may be holding at the foe. The severity of damage dealt this way depends upon what exactly is thrown as per the following list: 130 power: Iron Ball; 100 power: Hard Stone; 90 power: DeepSeaTooth, Draco Plate, Dread Plate, Earth Plate, Fist Plate, Flame Plate, Grip Claw, Icicle Plate, Insect Plate, Iron Plate, Meadow Plate, Mind Plate, Sky Plate, Splash Plate, Spooky Plate, Stone Plate, Thick Club, Toxic Plate, Zap Plate; 80 power: Dawn Stone, Dusk Stone, Electrizer, Magmarizer, Oval Stone, Protector, Quick Claw, Razor Claw, Shiny Stone, Sticky Barb; 70 power: Dragon Fang, Poison Barb (also poisons the target); 60 power: Damp Rock, Heat Rock, Rugged Helmet, Stick; 50 power: Dubious Disc, Sharp Beak; 40 power: Icy Rock, Lucky Punch, Eviolite; 30 power: Amulet Coin, Black Belt, Black Sludge, BlackGlasses, Charcoal, DeepSeaScale, Dragon Scale, Everstone, Exp. Share, Fire Stone, Flame Orb (also burns the target), King's Rock (also causes the target to flinch), Leaf Stone, Life Orb, Light Ball (also paralyzes the target), Light Clay, Lucky Egg, Magnet, Metal Coat, Metronome, Miracle Seed, Moon Stone, Mystic Water, NeverMeltIce, Razor Fang (also causes the target to flinch), Scope Lens, Shell Bell, Smoke Ball, Sun Stone, Thunderstone, Toxic Orb (badly poisons the target), TwistedSpoon, Up-Grade, Water Stone, Rechargeable Battery, Escape Button, Absorb Bulb, Float Stone, Binding Band; 10 power: All Berries (all berries activate and cause their effect for the target), Big Root, BrightPowder, Choice Band, Choice Scarf, Choice Specs, Destiny Knot, Expert Belt, Focus Band, Focus Sash, Full Incense, Lagging Tail, Lax Incense, Leftovers, Luck Incense, Mental Herb, Metal Powder, Muscle Band, Power Herb, Quick Powder, Reaper Cloth, Shed Shell, Silk Scarf, SilverPowder, Smooth Rock, Soft Sand, Soothe Bell, Wave Incense, White Herb, Wide Lens, Wise Glasses, Zoom Lens, Balloon, Red Card, Aiming Mark.",Single,Projectile/Special
375,psycho-shift,Psycho Shift,11,3,-1,3,90,Transfers the user's major status ailments to the target.,"The user forms a psychic link with the opponent and forces all its physical ailments onto the target, healing itself while in the process transferring any major status afflictions to the opponent. If the user has an ailment to which the target is immune, it will still be healed, but the opponent will not be afflicted.",Single,Special
376,trump-card,Trump Card,1,2,-1,-1,,Base damage rises as the user's energy falls.,"As the user's situation becomes increasingly dire, this attack gains effectiveness. When the foe least expects it, the user unleashes a massive attack of which the opponent would have never thought it capable, transforming its determination and will to win into a temporary burst of energy to replace that which it has lost and making it capable of outstanding feats. This attack's base power depends upon how much energy the user has remaining as follows: Less than 10% energy remaining: 200 power; Between 11% and 30% energy remaining: 80 power; Between 31% and 50% energy remaining: 60 power; Between 51% and 75% energy remaining: 50 power; More than 75% energy remaining: 40 power.",Single,Projectile/Special
377,heal-block,Heal Block,11,3,,4,100,Prevents the target from regaining health for five actions.,"The user puts a psychic freeze on the physical state of its opponents, preventing their natural healing processes from being able to restore them to fighting form. This attack prevents the target(s) from regaining HP in through the use of any move, item, ability, or body modification for the next five actions.",Multiple,Special
378,wring-out,Wring Out,1,2,12,7,100,Base damage and energy cost fall proportional to the target's remaining health.,"The user grabs the opponent and forcibly wrings the life out of it--and the more it has, the more it loses. This attack's base power is equal to 1.2x the opponent's health percentage, rounded down to the nearest 10 base points. (Thus, if the opponent is at 100% health, this attack has 120 base power; if the opponent is at 10% health, it has 10 base power.)",Single,Contact/Special
379,power-trick,Power Trick,11,3,,-1,,Switches the user's Attack and Defense stats.,"The user turns their mental eye inward, dramatically altering their physical output and the functioning of their bodies. As a result, their base attack and defense are switched, such that ordinarily clumsy, burly pokémon suddenly become powerful fighters buck lack in defense, whereas frail, aggressive pokémon suddenly gain a much more sturdy constitution.",Self,Special
380,gastro-acid,Gastro Acid,8,3,,3,100,Nullifies the target's ability.,The user vomits up a gout of intestinal juices that cover the opponent in a stinging layer of slime. This goo dampens its natural powers and neutralizes its ability until it can somehow manage to get the gastro acid off.,Single,Projectile/Special
381,lucky-chant,Lucky Chant,1,3,,4,,Protects all friendly Pokémon against critical hits for five actions.,"The user sets up a lilting, tuneless chant, armoring itself and any number of its allies in pure luck such that even the most damaging moves will fail to strike their weakest points. Effectively, this prevents critical hits from being made against all affected pokémon for five actions.",Multiple,Special
382,me-first,Me First,1,3,,-1,,"Uses the move the target is about to use, with 1.5 times the base damage.  Fails if the target has already moved this action.","This attack is only effective if the user is faster than the opponent. If the target moves to make a damaging attack against the user, the user puts on an incredible burst of speed and instead copies the foe's move and uses it against the target at 1.5x the power. If the opponent fails to use a damaging attack against the user or the user is slower than the opponent, this attack fails.",Single,Special
